id,question,A,B,C,Answerkey
101,Which word rhymes with clear?,deer,door,dare,A
102,Which word rhymes with fear?,year,your,yarn,A
103,Which word rhymes with here?,peer,pair,pour,A
104,Which word rhymes with sneer?,cheer,chair,chore,A
105,Which word rhymes with peer?,steer,star,store,A
106,Which word rhymes with gorilla?,Panda,jello,live,A
107,Which word rhymes with panda?,Honda,hound,hand,A
108,Which word rhymes with umbrella?,fella,feel,fall,A
109,Which word rhymes with banana?,cabana,cabin,cable,A
110,Which word rhymes with sofa?,yoga,yoke,yawn,A
111,Which word rhymes with zebra?,algebra,alien,align,A
112,Which word rhymes with camera?,opera,open,opal,A
113,Which word rhymes with pizza?,plaza,place,play,A
114,Which word rhymes with soda?,coda,code,cold,A
115,Which word rhymes with ninja?,comma,come,comb,A
116,I saw a castle and a rhino.,castle,cattle,camel,A
117,The chef uses a sharp knife.,knife,kite,knee,A
118,She hurt her knee when she fell.,knee,keen,keep,A
119,Please write your name here.,write,white,wait,A
120,That is the wrong answer.,wrong,ring,wing,A
121,The little lamb followed Mary.,lamb,lamp,lump,A
122,Use a comb to fix your hair.,comb,come,cone,A
123,She wears a warm glove in winter.,glove,glue,glow,A
124,The big rhino ran fast.,rhino,ring,run,A
125,We ate a rhubarb pie today.,rhubarb,rub,robot,A
126,The coach blew his whistle loudly.,whistle,whisper,white,A
127,A ghost lived in the old house.,ghost,goat,guest,A
128,Listen to the beautiful music!,listen,list,light,A
129,Please wrap the gift nicely.,wrap,trap,clap,A
130,The tomb was very dark.,tomb,time,tube,A
131,Which word rhymes with nature?,picture,pressure,hair,A
132,Which word rhymes with beautiful?,helpful,fall,low,A
133,Which word rhymes with treasure?,measure,sure,share,A
134,Which word rhymes with station?,competition,tell,tall,A
135,Which word rhymes with competition?,excursion,excuse,extra,A
136,Which word rhymes with famous?,dangerous,buzz,hiss,A
137,Which word rhymes with picture?,future,fast,fat,A
138,Which word rhymes with measure?,pleasure,please,play,A
139,Which word rhymes with action?,fiction,fact,face,A
140,Which word rhymes with television?,nation,visit,vase,A
141,Which word rhymes with excursion?,television,star,stay,A
142,Which word rhymes with dangerous?,nervous,nerve,never,A
143,Which word rhymes with helpful?,careful,care,car,A
144,Which word rhymes with useful?,playful,play,plan,A
145,Which word rhymes with nature?,creature,create,cream,A
146,Which word rhymes with future?,capture,cap,cape,A
147,Which word rhymes with fiction?,fraction,fracture,frame,A
148,Which word rhymes with nervous?,jealous,jelly,jet,A
149,Which word rhymes with beautiful?,wonderful,wonder,wand,A
150,Which word rhymes with famous?,jealous,joy,joke,A
