id,question,A,B,C,Answerkey
101,Where did he go last Sunday?,He went to the riverside park.,He goes to the riverside park.,He will go to the riverside park.,A
102,Did they eat snacks at the night market?,"Yes, they ate snacks.","Yes, they eat snacks.","Yes, they eating snacks.",A
103,What did she do at the department store?,She went shopping.,She goes shopping.,She is going shopping.,A
104,Did you ride a bike yesterday?,"No, I flew a kite.","No, I fly a kite.","No, I will fly a kite.",A
105,Where did the students go?,They went to the amusement park.,They go to the amusement park.,They will go to the amusement park.,A
106,What did you drink last night?,I drank juice.,I drink juice.,I am drinking juice.,A
107,Did he see a movie last weekend?,"Yes, he saw a movie.","Yes, he sees a movie.","Yes, he will see a movie.",A
108,What did she do yesterday afternoon?,She drew a picture.,She draws a picture.,She drawing a picture.,A
109,Did they have a picnic yesterday?,"Yes, they had a picnic.","Yes, they have a picnic.","Yes, they having a picnic.",A
110,What did the dog do in the park?,It ran.,It runs.,It is running.,A
111,Did you sing songs at school?,"Yes, I sang songs.","Yes, I sing songs.","Yes, I will sing songs.",A
112,Where did he swim?,He swam in the pool.,He swims in the pool.,He swimming in the pool.,A
113,Did they take a walk yesterday evening?,"Yes, they took a walk.","Yes, they take a walk.","Yes, they will take a walk.",A
114,What did you write?,I wrote a letter.,I write a letter.,I will write a letter.,A
115,What would you like to eat?,I'd like a box of cookies.,I like a box of cookies.,I'd like box of cookies.,A
116,What would he like to drink?,He'd like a cup of tea.,He'd like a cup of cake.,He likes a cup of tea.,A
117,Would she like a bowl of soup?,"Yes, she'd like a bowl of soup.","Yes, she like a bowl of soup.","Yes, she's like a bowl of soup.",A
118,What would they like?,They'd like a plate of noodles.,They'd like a plate noodles.,They like a plate of noodles.,A
119,Would you like a glass of juice?,"Yes, I'd like a glass of juice.","Yes, I'd like a bag of juice.","Yes, I like a glass of juice.",A
120,What would your brother like to eat?,He'd like a piece of cake.,He'd like a piece of water.,He likes a piece of cake.,A
121,What would you like to drink?,We'd like three bottles of water.,We'd like three pieces of pie.,We like three bottles of juice.,A
122,What's the date today?,It's May 5th.,It's on May 5th.,It's May of 5th.,A
123,When is your birthday?,It's on June 12th.,It's June 12th.,It's at June 12th.,A
124,When is Mother's birthday?,It's on March 8th.,It's March 8th.,It is in March 8th.,A
125,What's the date today?,It's November 20th.,It's on November 20th.,It's November.,A
126,When is Christmas?,It's on December 25th.,It's December 25th.,It's in December 25th.,A
127,When is his birthday?,It's on January 1st.,It's January 1st.,It's at January 1st.,A
128,What's the date today?,It's July 7th.,It's on July 7th.,It's at July 7th.,A
129,Where is the tea shop?,It's across from the clinic.,It's across the clinic.,It's across to the clinic.,A
130,Is the police station behind the bakery?,"Yes, it is.","Yes, it does.","Yes, it has.",A
131,Where is the bus stop?,It's in front of the tea shop.,It's in front the tea shop.,It's front of the tea shop.,A
132,Is the clinic between the bakery and the police station?,"Yes, it is.","Yes, it are.","Yes, they are.",A
133,Where is the dog?,It's behind the bus stop.,It's behind of the bus stop.,It's back the bus stop.,A
134,Where is the bakery?,It's across from the police station.,It's cross from the police station.,It's across to the police station.,A
135,Is the tea shop in front of the clinic?,"No, it's behind the clinic.","No, it behinds the clinic.","No, it's behind of the clinic.",A
136,How does the tea egg taste?,It tastes salty.,It taste salty.,It is tasting salty.,A
137,How does the mochi taste?,It tastes sweet.,It taste sweet.,It is taste sweet.,A
138,Do you like the barbecue?,"No, it's too spicy for me.","No, it's too spice for me.","No, it's too spicy for I.",A
139,How does the bitter gourd taste?,It tastes bitter.,It is taste bitter.,It taste bitter.,A
140,How does the lemon taste?,It tastes sour.,It taste sour.,It is taste sour.,A
141,How does the grilled corn taste?,It tastes sweet and salty.,It taste sweet and salty.,It is taste sweet and salty.,A
142,Do you like the soup?,"No, it is too salty for me.","No, it tastes too salty for I.","No, it is too salt for me.",A
143,What will we do in Yilan?,We will go camping.,We go camping.,We went camping.,A
144,Will you send a postcard tomorrow?,"Yes, I will send a postcard.","Yes, I send a postcard.","Yes, I sent a postcard.",A
145,What will he do this weekend?,He will take pictures.,He took pictures.,He takes pictures.,A
146,Will they enjoy the hot spring?,"Yes, they will enjoy the hot spring.","Yes, they enjoy the hot spring.","Yes, they enjoyed the hot spring.",A
147,What will she buy?,She will buy souvenirs.,She buys souvenirs.,She bought souvenirs.,A
148,What will they do tonight?,They will send a postcard.,They sent a postcard.,They send a postcard.,A
149,Will you take pictures in Yilan?,"Yes, I will take pictures.","Yes, I took pictures.","Yes, I takes pictures.",A
150,What will we do on Sunday?,We will enjoy the hot spring.,We enjoyed the hot spring.,We enjoys the hot spring.,A
