id,question,A,B,C,Answerkey
51,Which word has the same vowel sound as walk?,August,work,fork,A
52,Which word has the same vowel sound as faust?,talk,lurk,mart,A
53,Which word has the same vowel sound as draw?,straw,star,store,A
54,Which word has the same vowel sound as sauce?,pause,pose,pace,A
55,Which word has the same vowel sound as August?,autumn,atom,auto,A
56,Which word has the same vowel sound as prawn?,dawn,down,done,A
57,Which word has the same vowel sound as chalk?,walk,work,wake,A
58,Which word has the same vowel sound as fault?,vault,vote,vat,A
59,Which word has the same vowel sound as cause?,pause,pass,pace,A
60,Which word has the same vowel sound as jaw?,law,low,love,A
61,Which word has the same vowel sound as saw?,raw,row,ray,A
62,Which word has the same vowel sound as claw?,flaw,flow,flea,A
63,Which word has the same vowel sound as dawn?,lawn,loan,line,A
64,Which word has the same vowel sound as author?,August,argue,anger,A
65,Which word has the same vowel sound as stalk?,chalk,check,chick,A
66,Which word has the same vowel sound as yawn?,fawn,fan,fun,A
67,Which word has the same vowel sound as crawl?,brawl,bowl,boil,A
68,Which word has the same vowel sound as haunt?,taunt,tent,tint,A
69,Which word has the same vowel sound as hawk?,walk,week,wake,A
70,Which word has the same vowel sound as pause?,cause,case,cease,A
71,Which word rhymes with ball?,wall,tell,bowl,A
72,Which word rhymes with tall?,call,cool,coal,A
73,Which word rhymes with fall?,mall,meal,mill,A
74,Which word rhymes with hall?,tall,tell,toll,A
75,Which word rhymes with small?,stall,stale,steal,A
76,Which word rhymes with call?,fall,fail,foil,A
77,Which word rhymes with wall?,ball,bowl,bell,A
78,Which word rhymes with stall?,hall,hole,hail,A
79,Which word rhymes with mall?,small,smell,smile,A
80,Which word rhymes with squall?,wall,wool,wail,A
81,Which word rhymes with tall?,small,smell,smile,A
82,Which word rhymes with fall?,hall,hell,hill,A
83,Which word rhymes with call?,mall,mule,mile,A
84,Which word rhymes with ball?,tall,tail,tool,A
85,Which word rhymes with stall?,fall,fill,file,A
86,Which word has the same sound as care?,share,joke,near,A
87,Which word has the same sound as square?,chair,cheer,choir,A
88,Which word has the same sound as hair?,bear,beer,boar,A
89,Which word has the same sound as pear?,wear,weir,wire,A
90,Which word has the same sound as fair?,pair,peer,pour,A
91,Which word has the same sound as bare?,dare,deer,door,A
92,Which word has the same sound as chair?,stair,steer,star,A
93,Which word has the same sound as bear?,glare,gleam,gloom,A
94,Which word has the same sound as share?,flare,floor,flower,A
95,Which word has the same sound as air?,care,core,car,A
96,Which word rhymes with deer?,fear,dare,store,A
97,Which word rhymes with ear?,clear,care,core,A
98,Which word rhymes with cheer?,near,name,none,A
99,Which word rhymes with near?,hear,hare,hair,A
100,Which word rhymes with steer?,jeer,jar,joy,A
